Red,redProductName,redProductPrice,redProductLink,redProductImage,Yellow & Orange,yellowProductName,yellowProductPrice,yellowProductLink,yellowProductImage,"White, Tan & Brown",whiteProductName,whiteProductPrice,whiteProductLink,yellowProductImage,Green,greenProductName,greenProductPrice,greenProductLink,greenProductImage,Blue & Purple,blueProductName,blueProductPrice,blueProductLink,blueProductImage,Recipes
Red Apples,,,,,Apricots,,,,,Bananas,,,,,Avocados,,,,,Blackberries,,,,,"Total time: 15 mins, Serves: 2

Rainbow Oatmeal
Ingredients
¾ cup rolled oats
¼ teaspoon ground cinnamon
Pinch of sea salt
¼ cup fresh berries (optional)
½ ripe banana, sliced (optional)
2 tablespoons chopped nuts, such as walnuts, pecans, or cashews (optional)
2 tablespoons dried fruit, such as raisins, cranberries, chopped apples, chopped
Apricots (optional)
Maple syrup (optional)

Instructions
Combine the oats and 1½ cups water in a small saucepan. Bring to a boil over high heat. Reduce the heat to medium-low and cook until the water has been absorbed, about 5 minutes.

Stir in the cinnamon and salt. Top with the berries, banana, nuts, and/or dried fruit, as you like. If desired, pour a little maple syrup on top. Serve hot.

Source: https://www.forksoverknives.com/recipes/vegan-breakfast/fruit-and-nut-healthy-oatmeal/"
Blood Oranges,,,,,Dates,,,,,Green Apples,,,,,Green Grapes,,,,,Blueberries,,,,,"Total time: 5 minutes, Serves: 2

Wild blueberry blodd orange ginger smoothie
Ingredients
2 cups frozen Wild Blueberries plus additional for topping if desired
zest and juice of 1 blood orange substitute with ¼ cup orange juice if you can't find blood orange
½ teaspoon fresh grated ginger
2 tablespoon ground flax
½ block about 7oz silken or soft tofu
1.25 cups unsweetened coconut milk substitute with milk of choice


Instructions
Add ingredients to blender and blend on high until smooth. Add additional milk if needed to reach desired consistency. Transfer to glasses and top with additional wild blueberries if desired.

Source: https://gratefulgrazer.com/wild-blueberry-blood-orange-ginger-smoothie/ "
Cherries,,,,,Peaches,,,,,White Nectarines,,,,,Green Apples,,,,,Black Currants,,,,,"Total time: 45 minutes, Serves: 6

Cherry and peach crisp with oat crumble
Ingredients
3 cups frozen peaches
3 cups frozen cherries
1 tablespoon gluten-free flour
½ teaspoon cinnamon
1 Lemon (for juice)

Oat Crumble Topping
½ cup butter cold and cubed
1 ½ cups gluten-free rolled oats not quick cooking
¼ cup brown sugar
½ tablespoon cinnamon
½ teaspoon salt

Instructions
Pre-heat oven to 375 degrees F.
Toss frozen cherries and peaches in fresh lemon juice. Then sprinkle the fruit with flour and cinnamon. Toss to coat.
Place fruit mixture into a rectangular glass baking dish (8 x 11 inches).
Bake at 375 for 10 mins. (If using fresh fruit, you can skip this step).
While the fruit mixture bakes, in a large bowl add cubed butter, oats, brown sugar, cinnamon and salt.
Using 2 knifes ""cut"" through the mixture, combining the ingredients together.
Keep going until a good crumble is formed and the butter chunks are well incorporated into the oats.
Take the fruit out of the oven and add the oat crisp topping overtop all of the fruit.
Bake for another 20 minutes in the oven. Crisp will be hot and bubbling at the sides when done.
Serve warm.

Source: https://eatsbyapril.com/healthy-cherry-and-peach-crisp-with-oat-crumble-gluten-free/#%f0%9f%94%aainstructions "
Cranberries,,,,,Yellow Figs,,,,,White Peaches,,,,,Honeydew,,,,,Concord Grapes,,,,,"Total time: 2 hours, Serves 8

Honey and chicken soup
Ingredients:
1 free range chicken (Indonesian: ayam kampung), cut into 8 pieces
8 dried jujube fruits/red dates (Chinese: hong zao)
2 tablespoon wolfberries/goji berries (Chinese: gou gi zi)
2 teaspoon salt
6 cups water
500 gram honeydew flesh, cut into cubes

Instructions:
Place chicken, jujube, wolfberries, salt, and water into a soup pot and bring to a boil. Reduce heat and simmer for 1 hr.

Add honeydew and bring to another boil. Reduce heat and simmer for another 15 minutes. Adjust with salt and sugar since the sweetness of honeydew may varies.
Turn off heat and serve immediately.

Source: https://dailycookingquest.com/honeydew-and-chicken-soup.html "
Red Grapes,,,,,Grapefruit,,,,,Brown Pears,,,,,Kiwifruit,,,,,Dried Plums,,,,,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of ½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Grapefruit,,,,,Golden Kiwifruit,,,,,Cauliflower,,,,,Limes,,,,,Elderberries,,,,,"Total time: 1 hour, Serves: 4

Roasted curried cauliflower
Ingredients:
1 head of cauliflower florets only
1/4 cup olive oil or melted coconut oil
1 tsp lemon zest
1/2 tsp turmeric powder
1/2 tsp cayenne pepper optional: please adjust to your taste, I like mine fairly spicy
1 tbsp curry powder
2 cloves garlic minced
Salt and pepper to taste
Chopped cilantro for garnishing
Spritz of lemon juice to serve

Instructions:
Preheat oven to 200C.
Line baking tray with parchment paper.
Mix all the spices in with the oil in a small bowl.
Place florets in a large mixing bowl.
Drizzle in the oil mixture over the cauliflower.
Use a spoon or spatula to coat florets well with the seasoning.
Spread out cauliflower on parchment lined tray in a single layer without overlapping.
Bake in the middle slot of the oven for 30-40 mins at 200C.
Garnish with chopped cilantro, and a little spritz of lemon juice.

Source: https://delishar.com/2014/10/roasted-curried-cauliflower.html"
Red Pears,,,,,Lemons,,,,,Garlic,,,,,Green Peas,,,,,Purple Figs,,,,,"Total time: 20 mins, Serves 2

Green Pea Stir Fry
Ingredients
10,5 oz frozen green peas (300 g)
½ small onion
1 large garlic clove
1 tbsp fresh ginger grated
2 tsp lime juice or lemon juice
1 tbsp soy sauce
2 tsp chili 
1 tbsp tomato paste
1 tbsp vegetable oil
a handful fresh cilantro and mint leaves
1 tbsp fried onion (optional)

Instructions
First of all peel and chop the onion and garlic clove. Pour the vegetable oil in a large saucepan and place it over medium-high heat. Once the oil is hot, add the chopped onion and garlic.
Stir fry for a minute. Then add the soy sauce and chili.
Stir again. Now add the lime (or lemon) juice and the tomato paste as well as 2 tablespoons of water.
Stir the marinade well. Turn the heat a little lower and add the freshly grated ginger.
Stir and let the sauce simmer for a minute. Then add the frozen green peas.
Turn the heat back up and stir the peas regularly for about 4 to 5 minutes or until they are fully thawed and warmed through but not mushy. The onion should still be a little crunchy as well. Check the seasoning and add extra soy sauce, hot chili sauce, lime juice or soy sauce to taste if necessary. Transfer the peas to a large serving bowls. Garnish with the fresh mint and cilantro, and fried onion (optional).

Source: https://www.junedarville.com/Pea-Stir-Fry.html"
Pomegranates,,,,,Mangoes,,,,,Ginger,,,,,Artichokes,,,,,Purple Grapes,,,,,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of ½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Raspberries,,,,,Nectarines,,,,,Artichokes,,,,,Arugula,,,,,Plums,,,,,"Total time: 30 mins, Serves 2- 4, 

Vietnamese-Style Sauteed Artichokes
Ingredients:
Juice of 1 lemon
6 small artichokes
2 cloves garlic
1 tablespoon fish sauce
2 1/2 teaspoons lemon juice, plus 1 teaspoon lemon zest, or more to taste
3 tablespoons sunflower or other neutral oil
1 to 2 bird’s eye chilies, minced, to taste
3/4 teaspoon ground black pepper
2 large spring onions, cut into quarters
3 tablespoons minced fresh dill

Instructions:
Squeeze the juice of one lemon into a bowl, and add about 1 cup water. Mix to combine.
Remove the leaves from the artichokes, cut lengthwise into quarters, and remove the choke, if necessary. Immediately put into the bowl of lemon juice-water, tossing to coat, to keep them from turning brown.
Peel and finely mince the garlic. Mix it with the fish sauce, 2 1/2 teaspoons lemon juice, and lemon zest. Set aside.
Drain artichokes. Add sunflower oil to a saute pan over high heat, and saute artichokes for 6 to 10 minutes, until golden brown. Add pepper, chiles, and spring onions 1 minute before the end of cooking, then drain off any excess oil, if necessary. Deglaze pan with garlic-fish sauce-lemon juice mixture. Garnish with dill, and serve.

Source: https://www.foodgal.com/2022/03/vietnamese-style-sauteed-artichokes/"
Strawberries,,,,,Oranges,,,,,Jicama,,,,,Asparagus,,,,,Raisins,,,,,"Total time: 15 mins, Serves: 4

Stir fried asparagus and scallops
Ingredients:
6 Asparagus, skinned and sliced
4 Scallops, sliced half
2 clove Garlic, minced
2 Shallot, sliced
1 Chilli, seed and julienned
1/2 tablespoon Cooking Oil

Instructions:
Saute garlic and shallot in oil till fragrant.
Add in chilli.
Stir fry for about a minute.
Add in scallops and stir-fry till almost cooked.
Dished the scallops and set aside.
In the same wok, add in asparagus and stir fry till the colour of the asparagus turned a dark shade of green or almost cooked. 
Add in the previously cooked scallops. 
Continue cooking till the scallops are cooked thoroughly.
Add a pinch of salt to taste if necessary.
Dish and serve immediately.

Source: https://wokkingmum.blogspot.com/2014/04/stir-fried-asparagu-and-scallops-with.html"
