Red,Yellow & Orange,"White, Tan & Brown",Green,Blue & Purple,Recipes
Red Apples,Apricots,Bananas,Avocados,Blackberries,"Total time: 15 mins, Serves: 2

Rainbow Oatmeal
Ingredients
Â¾ cup rolled oats
Â¼ teaspoon ground cinnamon
Pinch of sea salt
Â¼ cup fresh berries (optional)
Â½ ripe banana, sliced (optional)
2 tablespoons chopped nuts, such as walnuts, pecans, or cashews (optional)
2 tablespoons dried fruit, such as raisins, cranberries, chopped apples, chopped
Apricots (optional)
Maple syrup (optional)

Instructions
Combine the oats and 1Â½ cups water in a small saucepan. Bring to a boil over high heat. Reduce the heat to medium-low and cook until the water has been absorbed, about 5 minutes.

Stir in the cinnamon and salt. Top with the berries, banana, nuts, and/or dried fruit, as you like. If desired, pour a little maple syrup on top. Serve hot.

Source: https://www.forksoverknives.com/recipes/vegan-breakfast/fruit-and-nut-healthy-oatmeal/"
Pomegranates,Oranges,Green Apples,Green Grapes,Blueberries,"Total time: 5 minutes, Serves: 2

Wild blueberry blood orange ginger smoothie
Ingredients
2 cups frozen Wild Blueberries plus additional for topping if desired
zest and juice of 1 blood orange substitute with 
¼ cup orange juice if you can't find blood orange
½ teaspoon fresh grated ginger
2 tablespoon ground flax
Â½ block about 7oz silken or soft tofu
1.25 cups unsweetened coconut milk substitute with milk of choice


Instructions
Add ingredients to blender and blend on high until smooth. Add additional milk if needed to reach desired consistency. Transfer to glasses and top with additional wild blueberries if desired.

Source: https://gratefulgrazer.com/wild-blueberry-blood-orange-ginger-smoothie/ "
Cherries,Peaches,White Nectarines,Green Apples,Plums,"Total time: 45 minutes, Serves: 6

Cherry and peach crisp with oat crumble
Ingredients
3 cups frozen peaches
3 cups frozen cherries
1 tablespoon gluten-free flour
Â½ teaspoon cinnamon
1 Lemon (for juice)

Oat Crumble Topping
Â½ cup butter cold and cubed
1 Â½ cups gluten-free rolled oats not quick cooking
Â¼ cup brown sugar
Â½ tablespoon cinnamon
Â½ teaspoon salt

Instructions
Pre-heat oven to 375 degrees F.
Toss frozen cherries and peaches in fresh lemon juice. Then sprinkle the fruit with flour and cinnamon. Toss to coat.
Place fruit mixture into a rectangular glass baking dish (8 x 11 inches).
Bake at 375 for 10 mins. (If using fresh fruit, you can skip this step).
While the fruit mixture bakes, in a large bowl add cubed butter, oats, brown sugar, cinnamon and salt.
Using 2 knifes ""cut"" through the mixture, combining the ingredients together.
Keep going until a good crumble is formed and the butter chunks are well incorporated into the oats.
Take the fruit out of the oven and add the oat crisp topping overtop all of the fruit.
Bake for another 20 minutes in the oven. Crisp will be hot and bubbling at the sides when done.
Serve warm.

Source: https://eatsbyapril.com/healthy-cherry-and-peach-crisp-with-oat-crumble-gluten-free/#%f0%9f%94%aainstructions "
Cranberries,Corn,White Peaches,Honeydew,Concord Grapes,"Total time: 2 hours, Serves 8

Honey and chicken soup
Ingredients:
1 free range chicken (Indonesian: ayam kampung), cut into 8 pieces
8 dried jujube fruits/red dates (Chinese: hong zao)
2 tablespoon wolfberries/goji berries (Chinese: gou gi zi)
2 teaspoon salt
6 cups water
500 gram honeydew flesh, cut into cubes

Instructions:
Place chicken, jujube, wolfberries, salt, and water into a soup pot and bring to a boil. Reduce heat and simmer for 1 hr.

Add honeydew and bring to another boil. Reduce heat and simmer for another 15 minutes. Adjust with salt and sugar since the sweetness of honeydew may varies.
Turn off heat and serve immediately.

Source: https://dailycookingquest.com/honeydew-and-chicken-soup.html "
Red Grapes,Grapefruit,Brown Pears,Kiwifruit,Dried Plums,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of Â½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
Â½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Grapefruit,Lemons,Cauliflower,Limes,Black grapes,"Total time: 1 hour, Serves: 4

Roasted curried cauliflower
Ingredients:
1 head of cauliflower florets only
1/4 cup olive oil or melted coconut oil
1 tsp lemon zest
1/2 tsp turmeric powder
1/2 tsp cayenne pepper optional: please adjust to your taste, I like mine fairly spicy
1 tbsp curry powder
2 cloves garlic minced
Salt and pepper to taste
Chopped cilantro for garnishing
Spritz of lemon juice to serve

Instructions:
Preheat oven to 200C.
Line baking tray with parchment paper.
Mix all the spices in with the oil in a small bowl.
Place florets in a large mixing bowl.
Drizzle in the oil mixture over the cauliflower.
Use a spoon or spatula to coat florets well with the seasoning.
Spread out cauliflower on parchment lined tray in a single layer without overlapping.
Bake in the middle slot of the oven for 30-40 mins at 200C.
Garnish with chopped cilantro, and a little spritz of lemon juice.

Source: https://delishar.com/2014/10/roasted-curried-cauliflower.html"
Red Pears,Lemons,Garlic,Green Peas,Black Olives,"Total time: 20 mins, Serves 2

Green Pea Stir Fry
Ingredients
10,5 oz frozen green peas (300 g)
Â½ small onion
1 large garlic clove
1 tbsp fresh ginger grated
2 tsp lime juice or lemon juice
1 tbsp soy sauce
2 tsp chili 
1 tbsp tomato paste
1 tbsp vegetable oil
a handful fresh cilantro and mint leaves
1 tbsp fried onion (optional)

Instructions
First of all peel and chop the onion and garlic clove. Pour the vegetable oil in a large saucepan and place it over medium-high heat. Once the oil is hot, add the chopped onion and garlic.
Stir fry for a minute. Then add the soy sauce and chili.
Stir again. Now add the lime (or lemon) juice and the tomato paste as well as 2 tablespoons of water.
Stir the marinade well. Turn the heat a little lower and add the freshly grated ginger.
Stir and let the sauce simmer for a minute. Then add the frozen green peas.
Turn the heat back up and stir the peas regularly for about 4 to 5 minutes or until they are fully thawed and warmed through but not mushy. The onion should still be a little crunchy as well. Check the seasoning and add extra soy sauce, hot chili sauce, lime juice or soy sauce to taste if necessary. Transfer the peas to a large serving bowls. Garnish with the fresh mint and cilantro, and fried onion (optional).

Source: https://www.junedarville.com/Pea-Stir-Fry.html"
Pomegranates,Mangoes,Ginger,Artichokes,Black beans,"Total time: 30 mins, Serves 2- 4, 

Vietnamese-Style Sauteed Artichokes
Ingredients:
Juice of 1 lemon
6 small artichokes
2 cloves garlic
1 tablespoon fish sauce
2 1/2 teaspoons lemon juice, plus 1 teaspoon lemon zest, or more to taste
3 tablespoons sunflower or other neutral oil
1 to 2 birdâ€™s eye chilies, minced, to taste
3/4 teaspoon ground black pepper
2 large spring onions, cut into quarters
3 tablespoons minced fresh dill

Instructions:
Squeeze the juice of one lemon into a bowl, and add about 1 cup water. Mix to combine.
Remove the leaves from the artichokes, cut lengthwise into quarters, and remove the choke, if necessary. Immediately put into the bowl of lemon juice-water, tossing to coat, to keep them from turning brown.
Peel and finely mince the garlic. Mix it with the fish sauce, 2 1/2 teaspoons lemon juice, and lemon zest. Set aside.
Drain artichokes. Add sunflower oil to a saute pan over high heat, and saute artichokes for 6 to 10 minutes, until golden brown. Add pepper, chiles, and spring onions 1 minute before the end of cooking, then drain off any excess oil, if necessary. Deglaze pan with garlic-fish sauce-lemon juice mixture. Garnish with dill, and serve.

Source: https://www.foodgal.com/2022/03/vietnamese-style-sauteed-artichokes/"
Raspberries,Nectarines,Cauliflower,Cucumbers,Plums,"Total time: 1 hour, Serves: 4

Freekeh salad with nectarine and halloumi
Ingredients:
150g freekeh, rinsed in several changes of water
1 bunch parsley
½ bunch mint, leaves picked
4 spring onions
3 nectarines, stoned
½ cucumber
150g baby tomatoes, quartered
1 big handful walnuts
3 tbsp extra-virgin olive oil
Juice of 2 lemons
1 pinch ground cumin
Salt and black pepper
2 little gem lettuce, leaves separated
250g halloumi, drained, cut into 5mm slices

Instructions:
Bring a pan of water to a boil and cook the freekeh for 30 minutes, until tender. Meanwhile, prepare the other ingredients.

Finely chop the parsley, mint and spring onions and transfer to a large bowl. Cut the nectarines into wedges, then cut the cucumber in half lengthways and, using a teaspoon, scoop out and discard the seeds. Roughly dice into 1-2cm pieces. Roughly chop the walnuts to match and add them all to the bowl.

Once the freekeh is cooked, drain and rinse under cold water to cool. Add to the salad bowl along with two tablespoons of oil, the lemon juice, cumin and plenty of salt and freshly ground black pepper. Toss well and transfer to a large platter (or individual plates, if you prefer). Scatter the little gem leaves around the edge.

To cook the halloumi, warm up a medium-sized frying pan and, when hot, add the remaining oil. Pat each slice of halloumi dry with kitchen paper and add to the hot oil, turning over when golden – about a minute. When cooked, transfer to the top of the salad and serve at once.

Source: https://www.theguardian.com/food/2018/aug/27/thomasina-miers-recipe-for-freekeh-salad-with-nectarine-and-halloumi"
Strawberries,Oranges,Jicama,Asparagus,Raisins,"Total time: 15 mins, Serves: 4

Stir fried asparagus and scallops
Ingredients:
6 Asparagus, skinned and sliced
4 Scallops, sliced half
2 clove Garlic, minced
2 Shallot, sliced
1 Chilli, seed and julienned
1/2 tablespoon Cooking Oil

Instructions:
Saute garlic and shallot in oil till fragrant.
Add in chilli.
Stir fry for about a minute.
Add in scallops and stir-fry till almost cooked.
Dished the scallops and set aside.
In the same wok, add in asparagus and stir fry till the colour of the asparagus turned a dark shade of green or almost cooked. 
Add in the previously cooked scallops. 
Continue cooking till the scallops are cooked thoroughly.
Add a pinch of salt to taste if necessary.
Dish and serve immediately.

Source: https://wokkingmum.blogspot.com/2014/04/stir-fried-asparagu-and-scallops-with.html"
