Red,redProductName,redProductPrice,redProductLink,redProductImage,Yellow & Orange,yellowProductName,yellowProductPrice,yellowProductLink,yellowProductImage,"White, Tan & Brown",whiteProductName,whiteProductPrice,whiteProductLink,whiteProductImage,Green,greenProductName,greenProductPrice,greenProductLink,greenProductImage,Blue & Purple,blueProductName,blueProductPrice,blueProductLink,blueProductImage,Recipes
Red Apples,Italy Red Pop Apple,$5.95,https://www.fairprice.com.sg/search?query=Red Apples,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13228441_XL1_20230309.jpg,Apricots,YayaPapaya Apricot,$7.00,https://www.fairprice.com.sg/search?query=Apricots,https://media.nedigital.sg/fairprice/90174943_XL1_20240724021154_f89de0c585fb1238b1da6235cb637254.jpg,Bananas,Sumifru Philippines Banana,$2.45,https://www.fairprice.com.sg/search?query=Bananas,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13102605_XL1_20230525.jpg,Avocados,Yuan Zhen Yuan Australian Avocado,$4.95,https://www.fairprice.com.sg/search?query=Avocados,https://media.nedigital.sg/fairprice/90187042_XL1_20240724081339_009be18191f291d7203c7e19a763ebda.jpg,Blackberries,Agroaguiar Blackberry,$5.50,https://www.fairprice.com.sg/search?query=Blackberries,https://media.nedigital.sg/fairprice/90055918_XL1_20240723020230_6926146394d98deb3d6958d1adad8e62.jpg,"Total time: 15 mins, Serves: 2

Rainbow Oatmeal
Ingredients
Â¾ cup rolled oats
Â¼ teaspoon ground cinnamon
Pinch of sea salt
Â¼ cup fresh berries (optional)
Â½ ripe banana, sliced (optional)
2 tablespoons chopped nuts, such as walnuts, pecans, or cashews (optional)
2 tablespoons dried fruit, such as raisins, cranberries, chopped apples, chopped
Apricots (optional)
Maple syrup (optional)

Instructions
Combine the oats and 1Â½ cups water in a small saucepan. Bring to a boil over high heat. Reduce the heat to medium-low and cook until the water has been absorbed, about 5 minutes.

Stir in the cinnamon and salt. Top with the berries, banana, nuts, and/or dried fruit, as you like. If desired, pour a little maple syrup on top. Serve hot.

Source: https://www.forksoverknives.com/recipes/vegan-breakfast/fruit-and-nut-healthy-oatmeal/"
Pomegranates,Farmy Farmy Pomegranate,$9.99,https://www.fairprice.com.sg/search?query=Pomegranates,https://media.nedigital.sg/fairprice/90174632_XL1_20240724074742_8650ee3624fb9205cbae842d99936e84.jpg,Oranges,Sunkist Australia Navel Orange,$5.40,https://www.fairprice.com.sg/search?query=Oranges,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13166833_XL1_20221122.jpg,Green Apples,YayaPapaya Apple Green Granny Smith,$3.52,https://www.fairprice.com.sg/search?query=Green Apples,https://media.nedigital.sg/fairprice/90074797_XL1_20240724091114_325e541db1f9a19322daf67a3cff8c81.jpg,Green Grapes,Fresh Green Grapes,$4.95,https://www.fairprice.com.sg/search?query=Green Grapes,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10792443_XL1.jpg,Blueberries,Fresh Blueberries,$3.90,https://www.fairprice.com.sg/search?query=Blueberries,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10632060_XL1_20201014.jpg,"Total time: 5 minutes, Serves: 2

Wild blueberry blood orange ginger smoothie
Ingredients
2 cups frozen Wild Blueberries plus additional for topping if desired
zest and juice of 1 blood orange substitute with 
¼ cup orange juice if you can't find blood orange
½ teaspoon fresh grated ginger
2 tablespoon ground flax
Â½ block about 7oz silken or soft tofu
1.25 cups unsweetened coconut milk substitute with milk of choice


Instructions
Add ingredients to blender and blend on high until smooth. Add additional milk if needed to reach desired consistency. Transfer to glasses and top with additional wild blueberries if desired.

Source: https://gratefulgrazer.com/wild-blueberry-blood-orange-ginger-smoothie/ "
Cherries,Pasar Cherries,$6.45,https://www.fairprice.com.sg/search?query=Cherries,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12197760_XL1.jpg,Peaches,Donut Peach,$4.95,https://www.fairprice.com.sg/search?query=Peaches,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13024402_XL1_20210824.jpg,White Nectarines,Farmy Farmy Nectarine White,$9.99,https://www.fairprice.com.sg/search?query=White Nectarines,https://media.nedigital.sg/fairprice/90161452_XL1_20240715203729_c2434c7df3b4aaf5d940edef3874a2e2.jpg,Green Apples,YayaPapaya Apple Green Granny Smith,$3.52,https://www.fairprice.com.sg/search?query=Green Apples,https://media.nedigital.sg/fairprice/90074797_XL1_20240724091114_325e541db1f9a19322daf67a3cff8c81.jpg,Plums,Pasar Black Plum,$7.95,https://www.fairprice.com.sg/search?query=Plums,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11494982_XL1_20240708.jpg,"Total time: 45 minutes, Serves: 6

Cherry and peach crisp with oat crumble
Ingredients
3 cups frozen peaches
3 cups frozen cherries
1 tablespoon gluten-free flour
Â½ teaspoon cinnamon
1 Lemon (for juice)

Oat Crumble Topping
Â½ cup butter cold and cubed
1 Â½ cups gluten-free rolled oats not quick cooking
Â¼ cup brown sugar
Â½ tablespoon cinnamon
Â½ teaspoon salt

Instructions
Pre-heat oven to 375 degrees F.
Toss frozen cherries and peaches in fresh lemon juice. Then sprinkle the fruit with flour and cinnamon. Toss to coat.
Place fruit mixture into a rectangular glass baking dish (8 x 11 inches).
Bake at 375 for 10 mins. (If using fresh fruit, you can skip this step).
While the fruit mixture bakes, in a large bowl add cubed butter, oats, brown sugar, cinnamon and salt.
Using 2 knifes ""cut"" through the mixture, combining the ingredients together.
Keep going until a good crumble is formed and the butter chunks are well incorporated into the oats.
Take the fruit out of the oven and add the oat crisp topping overtop all of the fruit.
Bake for another 20 minutes in the oven. Crisp will be hot and bubbling at the sides when done.
Serve warm.

Source: https://eatsbyapril.com/healthy-cherry-and-peach-crisp-with-oat-crumble-gluten-free/#%f0%9f%94%aainstructions "
Cranberries,Nature's Wonders Premium Whole Dried Cranberries,$4.28,https://www.fairprice.com.sg/search?query=Cranberries,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13151586_XL1_20220908.jpg,Corn,Pasar Sweet Corn,$1.57,https://www.fairprice.com.sg/search?query=Corn,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10388088_XL1_20221122.jpg,White Peaches,Happy Fruits Air-flown Japan White Peach,$36.23,https://www.fairprice.com.sg/search?query=White Peaches,https://media.nedigital.sg/fairprice/90145868_XL1_20240722005206_20e9020006244c76a7c721cef503cc09.jpg,Honeydew,Orgo Fresh Sweet Honeydew Melon Jumbo Size (Homi Milky Melon),$9.98,https://www.fairprice.com.sg/search?query=Honeydew,https://media.nedigital.sg/fairprice/90157236_XL1_20240722103630_251d1856456fe67d21296c5be957c31e.jpg,Concord Grapes,Korean Kyoho Grapes,$19.95,https://www.fairprice.com.sg/product/korean-kyoho-grapes-450g-13091044,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13091044_XL1_20230830.jpg,"Total time: 2 hours, Serves 8

Honey and chicken soup
Ingredients:
1 free range chicken (Indonesian: ayam kampung), cut into 8 pieces
8 dried jujube fruits/red dates (Chinese: hong zao)
2 tablespoon wolfberries/goji berries (Chinese: gou gi zi)
2 teaspoon salt
6 cups water
500 gram honeydew flesh, cut into cubes

Instructions:
Place chicken, jujube, wolfberries, salt, and water into a soup pot and bring to a boil. Reduce heat and simmer for 1 hr.

Add honeydew and bring to another boil. Reduce heat and simmer for another 15 minutes. Adjust with salt and sugar since the sweetness of honeydew may varies.
Turn off heat and serve immediately.

Source: https://dailycookingquest.com/honeydew-and-chicken-soup.html "
Red Grapes,Egypt Seedless Red Grapes,$4.95,https://www.fairprice.com.sg/search?query=Red Grapes,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13005330_XL1_20230919.jpg,Grapefruit,YayaPapaya Grapefruit,$1.30,https://www.fairprice.com.sg/search?query=Grapefruit,https://media.nedigital.sg/fairprice/90074788_XL1_20240723210059_cf3cff18244e1369060b088478034844.jpg,Brown Pears,Yuan Zhen Yuan China Brown Pear,$5.55,https://www.fairprice.com.sg/search?query=Brown Pears,https://media.nedigital.sg/fairprice/90176266_XL1_20240722224840_1245b5c8cd019e668c6cd93c63d3828a.jpg,Kiwifruit,Zespri New Zealand Kiwifruit - SunGold,$6.55,https://www.fairprice.com.sg/search?query=Kiwifruit,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13044104_XL1_20230717.jpg,Dried Plums,Sun Q Organic Soft Dried Plums,$9.19,https://www.fairprice.com.sg/search?query=Dried Plums,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13237945_XL1_20230911.jpg,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of Â½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
Â½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Grapefruit,YayaPapaya Grapefruit,$1.30,https://www.fairprice.com.sg/search?query=Grapefruit,https://media.nedigital.sg/fairprice/90074788_XL1_20240723210059_cf3cff18244e1369060b088478034844.jpg,Lemons,Orgo Fresh Large Yellow Lemon,$2.38,https://www.fairprice.com.sg/search?query=Lemons,https://media.nedigital.sg/fairprice/90144359_XL1_20240724091022_c4f9005309363e315354e56cfb65a2fa.jpg,Cauliflower,Yuan Zhen Yuan Cauliflower China,$2.95,https://www.fairprice.com.sg/search?query=Cauliflower,https://media.nedigital.sg/fairprice/90187036_XL1_20240724091435_bf08229a3bacf9b8f1c072e9b0f9f29d.jpg,Limes,Simply Finest Small Lime,$1.65,https://www.fairprice.com.sg/search?query=Limes,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11629373_XL1_20230519.jpg,Black grapes,Global Seasons Black Seedless Grape 500GM,$6.05,https://www.fairprice.com.sg/search?query=Black grapes,https://media.nedigital.sg/fairprice/90076832_XL1_20240724092027_b5b45af6a877bd0e689f1386a415b162.jpg,"Total time: 1 hour, Serves: 4

Roasted curried cauliflower
Ingredients:
1 head of cauliflower florets only
1/4 cup olive oil or melted coconut oil
1 tsp lemon zest
1/2 tsp turmeric powder
1/2 tsp cayenne pepper optional: please adjust to your taste, I like mine fairly spicy
1 tbsp curry powder
2 cloves garlic minced
Salt and pepper to taste
Chopped cilantro for garnishing
Spritz of lemon juice to serve

Instructions:
Preheat oven to 200C.
Line baking tray with parchment paper.
Mix all the spices in with the oil in a small bowl.
Place florets in a large mixing bowl.
Drizzle in the oil mixture over the cauliflower.
Use a spoon or spatula to coat florets well with the seasoning.
Spread out cauliflower on parchment lined tray in a single layer without overlapping.
Bake in the middle slot of the oven for 30-40 mins at 200C.
Garnish with chopped cilantro, and a little spritz of lemon juice.

Source: https://delishar.com/2014/10/roasted-curried-cauliflower.html"
Red Pears,Italy Red Pop Apple,$5.95,https://www.fairprice.com.sg/search?query=Red Pears,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13228441_XL1_20230309.jpg,Lemons,Orgo Fresh Large Yellow Lemon,$2.38,https://www.fairprice.com.sg/search?query=Lemons,https://media.nedigital.sg/fairprice/90144359_XL1_20240724091022_c4f9005309363e315354e56cfb65a2fa.jpg,Garlic,Chef China Garlic - Pure White,$3.10,https://www.fairprice.com.sg/search?query=Garlic,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10734550_XL1_20221122.jpg,Green Peas,FairPrice Frozen Fresh Garden Peas,$4.74,https://www.fairprice.com.sg/product/fairprice-green-peas-1kg-11475968,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11475968_XL1_20220217.jpg,Black Olives,Borges Black Olives - Pitted,$4.79,https://www.fairprice.com.sg/search?query=Black Olives,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13003761_XL1_20211122.jpg,"Total time: 20 mins, Serves 2

Green Pea Stir Fry
Ingredients
10,5 oz frozen green peas (300 g)
Â½ small onion
1 large garlic clove
1 tbsp fresh ginger grated
2 tsp lime juice or lemon juice
1 tbsp soy sauce
2 tsp chili 
1 tbsp tomato paste
1 tbsp vegetable oil
a handful fresh cilantro and mint leaves
1 tbsp fried onion (optional)

Instructions
First of all peel and chop the onion and garlic clove. Pour the vegetable oil in a large saucepan and place it over medium-high heat. Once the oil is hot, add the chopped onion and garlic.
Stir fry for a minute. Then add the soy sauce and chili.
Stir again. Now add the lime (or lemon) juice and the tomato paste as well as 2 tablespoons of water.
Stir the marinade well. Turn the heat a little lower and add the freshly grated ginger.
Stir and let the sauce simmer for a minute. Then add the frozen green peas.
Turn the heat back up and stir the peas regularly for about 4 to 5 minutes or until they are fully thawed and warmed through but not mushy. The onion should still be a little crunchy as well. Check the seasoning and add extra soy sauce, hot chili sauce, lime juice or soy sauce to taste if necessary. Transfer the peas to a large serving bowls. Garnish with the fresh mint and cilantro, and fried onion (optional).

Source: https://www.junedarville.com/Pea-Stir-Fry.html"
Pomegranates,Farmy Farmy Pomegranate,$9.99,https://www.fairprice.com.sg/search?query=Pomegranates,https://media.nedigital.sg/fairprice/90174632_XL1_20240724074742_8650ee3624fb9205cbae842d99936e84.jpg,Mangoes,Indonesia Harumanis Mango,$6.99,https://www.fairprice.com.sg/search?query=Mangoes,https://media.nedigital.sg/fairprice/90177265_XL1_20240724021501_3aa285a75f33d7554a8633c76befc8d8.jpg,Ginger,Simply Finest Young Ginger,$2.05,https://www.fairprice.com.sg/search?query=Ginger,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11629461_XL1_20221123.jpg,Artichokes,Coelsanus Tomatoes In Sunflower Oil - Artichokes & Dried,$9.10,https://www.fairprice.com.sg/search?query=Artichokes,https://media.nedigital.sg/fairprice/90086693_XL1_20240714073143_d32bfad8f878225ae7e83feba5537427.jpg,Black beans,Dr Gram Organic Black Bean - Green Flesh,$8.55,https://www.fairprice.com.sg/product/dr-gram-organic-black-bean-green-flesh-500-g-90032000,https://media.nedigital.sg/fairprice/90032000_XL1_20240718203700_9570e337b0e369ecb3827d1be7fdc2a5.jpg,"Total time: 30 mins, Serves 2- 4, 

Vietnamese-Style Sauteed Artichokes
Ingredients:
Juice of 1 lemon
6 small artichokes
2 cloves garlic
1 tablespoon fish sauce
2 1/2 teaspoons lemon juice, plus 1 teaspoon lemon zest, or more to taste
3 tablespoons sunflower or other neutral oil
1 to 2 birdâ€™s eye chilies, minced, to taste
3/4 teaspoon ground black pepper
2 large spring onions, cut into quarters
3 tablespoons minced fresh dill

Instructions:
Squeeze the juice of one lemon into a bowl, and add about 1 cup water. Mix to combine.
Remove the leaves from the artichokes, cut lengthwise into quarters, and remove the choke, if necessary. Immediately put into the bowl of lemon juice-water, tossing to coat, to keep them from turning brown.
Peel and finely mince the garlic. Mix it with the fish sauce, 2 1/2 teaspoons lemon juice, and lemon zest. Set aside.
Drain artichokes. Add sunflower oil to a saute pan over high heat, and saute artichokes for 6 to 10 minutes, until golden brown. Add pepper, chiles, and spring onions 1 minute before the end of cooking, then drain off any excess oil, if necessary. Deglaze pan with garlic-fish sauce-lemon juice mixture. Garnish with dill, and serve.

Source: https://www.foodgal.com/2022/03/vietnamese-style-sauteed-artichokes/"
Raspberries,Agroaguiar Raspberry,$7.00,https://www.fairprice.com.sg/search?query=Raspberries,https://media.nedigital.sg/fairprice/90055920_XL1_20240723015302_f4f75f2dccac8e6cf2a213bbdf8fb9fb.jpg,Nectarines,Farmy Farmy Nectarine White,$9.99,https://www.fairprice.com.sg/search?query=Nectarines,https://media.nedigital.sg/fairprice/90161452_XL1_20240715203729_c2434c7df3b4aaf5d940edef3874a2e2.jpg,Cauliflower,Yuan Zhen Yuan Cauliflower China,$2.95,https://www.fairprice.com.sg/search?query=Cauliflower,https://media.nedigital.sg/fairprice/90187036_XL1_20240724091435_bf08229a3bacf9b8f1c072e9b0f9f29d.jpg,Cucumbers,Pasar Japanese Cucumber ,$1.21,https://www.fairprice.com.sg/search?query=Cucumbers,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10421837_XL1_20221122.jpg,Plums,Pasar Black Plum,$7.95,https://www.fairprice.com.sg/search?query=Plums,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11494982_XL1_20240708.jpg,"Total time: 1 hour, Serves: 4

Freekeh salad with nectarine and halloumi
Ingredients:
150g freekeh, rinsed in several changes of water
1 bunch parsley
½ bunch mint, leaves picked
4 spring onions
3 nectarines, stoned
½ cucumber
150g baby tomatoes, quartered
1 big handful walnuts
3 tbsp extra-virgin olive oil
Juice of 2 lemons
1 pinch ground cumin
Salt and black pepper
2 little gem lettuce, leaves separated
250g halloumi, drained, cut into 5mm slices

Instructions:
Bring a pan of water to a boil and cook the freekeh for 30 minutes, until tender. Meanwhile, prepare the other ingredients.

Finely chop the parsley, mint and spring onions and transfer to a large bowl. Cut the nectarines into wedges, then cut the cucumber in half lengthways and, using a teaspoon, scoop out and discard the seeds. Roughly dice into 1-2cm pieces. Roughly chop the walnuts to match and add them all to the bowl.

Once the freekeh is cooked, drain and rinse under cold water to cool. Add to the salad bowl along with two tablespoons of oil, the lemon juice, cumin and plenty of salt and freshly ground black pepper. Toss well and transfer to a large platter (or individual plates, if you prefer). Scatter the little gem leaves around the edge.

To cook the halloumi, warm up a medium-sized frying pan and, when hot, add the remaining oil. Pat each slice of halloumi dry with kitchen paper and add to the hot oil, turning over when golden – about a minute. When cooked, transfer to the top of the salad and serve at once.

Source: https://www.theguardian.com/food/2018/aug/27/thomasina-miers-recipe-for-freekeh-salad-with-nectarine-and-halloumi"
Strawberries,USA Strawberry,$7.95,https://www.fairprice.com.sg/search?query=Strawberries,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12164168_XL1_20230510.jpg,Oranges,Sunkist Australia Navel Orange,$5.40,https://www.fairprice.com.sg/search?query=Oranges,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13166833_XL1_20221122.jpg,Jicama,Orgo Fresh Turnip (Jicama),$3.99,https://www.fairprice.com.sg/search?query=Jicama,https://media.nedigital.sg/fairprice/90144338_XL1_20240723235937_2da5adae4d5d7beadbc260b80fdf0067.jpg,Asparagus,Pasar Asparagus Fine,$2.65,https://www.fairprice.com.sg/search?query=Asparagus,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10734024_XL1_20230518.jpg,Raisins,Sun-Maid Natural California Raisins - Mini Pack,$3.80,https://www.fairprice.com.sg/search?query=Raisins,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/275885_XL1.jpg,"Total time: 15 mins, Serves: 4

Stir fried asparagus and scallops
Ingredients:
6 Asparagus, skinned and sliced
4 Scallops, sliced half
2 clove Garlic, minced
2 Shallot, sliced
1 Chilli, seed and julienned
1/2 tablespoon Cooking Oil

Instructions:
Saute garlic and shallot in oil till fragrant.
Add in chilli.
Stir fry for about a minute.
Add in scallops and stir-fry till almost cooked.
Dished the scallops and set aside.
In the same wok, add in asparagus and stir fry till the colour of the asparagus turned a dark shade of green or almost cooked. 
Add in the previously cooked scallops. 
Continue cooking till the scallops are cooked thoroughly.
Add a pinch of salt to taste if necessary.
Dish and serve immediately.

Source: https://wokkingmum.blogspot.com/2014/04/stir-fried-asparagu-and-scallops-with.html"
